Country,region,income,population,land_area_skm,pop_density,pop_largest_city,gdp_capita,life_expectancy,hospital_bed,province_state,Lat,Long,Date,confirmed_cases,Population,Region,Continent,death_cases,recovered_cases
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-01-22,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-01-23,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-01-24,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-01-25,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-01-26,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-01-27,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-01-28,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-01-29,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-01-30,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-01-31,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-01,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-02,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-03,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-04,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-05,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-06,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-07,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-08,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-09,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-10,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-11,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-12,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-13,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-14,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-15,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-16,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-17,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-18,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-19,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-20,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-21,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-22,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-23,0,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-24,1,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-25,1,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-26,1,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-27,1,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-28,1,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-02-29,1,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-03-01,1,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-03-02,1,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-03-03,1,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-03-04,1,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-03-05,1,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-03-06,1,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-03-07,1,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-03-08,4,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-03-09,4,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-03-10,5,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-03-11,7,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-03-12,7,32225560,Southern Asia,Asia,0,0
Afghanistan,South Asia,Low income,37172386,652860,56.937760009803,4011770,64.13,563.825662667794,0.5,Afghanistan,33,65,2020-03-13,7,32225560,Southern Asia,Asia,0,0
